,PNT_OF_INT,DESCRPTION,SOCIAL_MED,WEBSITE,CATEGORY,LOCATION,X,Y,LONGITUDE,LATITUDE,OBJECTID,RID,geometry
335,Pizzaiolo mural,"Student Artists of the Lakeshore Area painted this mural as one of the 47 murals created across Toronto. Student artists included Cathleen Carey, Crystol Philadelphia, Sarah Jargstorf, Aaron Li-Hill, Christina Olanick and Sady Ducros.",,,Public Art,3019 Lake Shore Blvd W,304114.429,4828659.763,-79.5082980456,43.5998790414,116588.0,336,POINT (-79.50829804561771 43.5998790413856)
336,Third Garden,"Third Garden is a public art installation commissioned in 1999 by the City of Toronto, designed by artists Millie Chen and Warren Quigley. It is a site-specific art installation consisting of five cast iron seating forms, eight concrete pavers inlaid wit",,,Public Art,"-79.516437,43.598083",303457.084,4828461.25,-79.516437,43.598083,116589.0,337,POINT (-79.516437 43.598083)
337,Cavalcade of Colour,"The inspiration for this mural, commissioned by Lakeshore Arts, came from the restaurant itself. In 1998, artist Tiffany Zufelt collaborated with restaurant owners to determine what would represent the restaurant and shared conversations about Greece and",,,Public Art,3235 Lake Shore Blvd W,303023.018,4828325.892,-79.5218159091,43.5968724216,116590.0,338,POINT (-79.5218159090763 43.5968724216258)
338,Girl on a Swing,"This mural was created in June 1997 by local high school students Theresa Chen, Damian Ghoura, Lisa Rodriguez and Wen-Shun Lin, from Lakeshore Collegiate under the direction of their art teacher, Cate Freeman. Commissioned by Lakeshore Arts and supported",,,Public Art,"-79.5231411626,43.5971164311",302915.771,4828353.981,-79.5231411626,43.5971164311,116693.0,339,POINT (-79.5231411626 43.5971164311)
339,The Gazebo,"Etobicoke resident Walter Ruston has been painting murals for over four decades. This mural, painted in June 1997, commissioned by Lakeshore Arts and supported by the Long Branch BIA, the then City of Etobicoke, Colour Your World and Protek Paint, featur",,,Public Art,"-79.5263445379,43.5958652736",302657.095,4828215.07,-79.5263445379,43.5958652736,116694.0,340,POINT (-79.5263445379 43.5958652736)
340,Bringing the Lake up to Lakeshore,"Painted by local artist Barb Symons in the summer of 1999, Bringing the Lake up to Lakeshore does just that. To Barb, water is the most important source of livelihood on the planet. The mural celebrates this great resource, which is such a focal point fo",,,Public Art,3481 Lake Shore Blvd W,302315.114,4828111.111,-79.5305829321,43.5949369079,116593.0,341,POINT (-79.53058293205601 43.5949369079129)
341,The Evolution of Transportation,"Artist Stephen Stanley created this mural depicting the history of transportation in the Long Branch area. It was dedicated by then Etobicoke Mayor Doug Holyday on October 16, 1996.",,,,"-79.544525,43.591869",301188.96,4827771.752,-79.544525,43.591869,117036.0,342,POINT (-79.54452499999999 43.591869)
342,"Land, Sea & Air","Painted in 2001 by local artist Gordon Roy, the mural is a memorial to Canadian veterans of WWI and WWII. It represents land, sea and air as the veterans fought in all three.",,,Public Art,3850 Lake Shore Blvd W,301138.239,4827675.697,-79.5451557956,43.5910127359,116595.0,343,POINT (-79.54515579560289 43.5910127359499)
343,Cenotaph at Etobicoke Civic Centre,"Located outside the east doors of Etobicoke Civic Centre, the cenotaph, an empty tomb or a monument erected in honour of a person or group of people, was originally a clock tower and was transformed into a memorial to those who gave their lives in World",,,Public Art,"-79.564918,43.643992",299546.79,4833563.368,-79.564918,43.643992,116596.0,344,POINT (-79.56491800000001 43.643992)
344,Galaxy,"Galaxy is located in front of the building beside Speaker's Corner. This sculpture was designed by Gerald Gladstone, commissioned by the Constellation Hotel in 1964 and donated to Etobicoke in 1981. Gladstone, fascinated with space and the human spirit,",,,Public Art,"-79.565752,43.643563",299479.466,4833515.762,-79.565752,43.643563,116597.0,345,POINT (-79.565752 43.643563)
345,Everyone Everywhere,"Completed in 2013 by lead artists Anna Camilleri and Tristan Whiston, this 60.96-metre-long mural reflects Article 6 of the Universal Declaration of Human Rights (""Everyone has the right to recognition everywhere as a person before the law"") and depicts",,,Public Art,"-79.526130,43.650975",302676.151,4834337.609,-79.52613,43.650975,116565.0,346,POINT (-79.52612999999999 43.650975)
346,Welcome Mural,This aptly named mural welcomes people to the Village of Islington. In the background on the left-hand side you'll find various historic buildings. The people depicted on the right are as follows: Helen Tier (left) and Mary Appleby (right). In the buggy:,,,Public Art,"-79.526842,43.651081",302618.721,4834349.403,-79.526842,43.651081,116566.0,347,POINT (-79.526842 43.651081)
347,Golfing in Islington,"Like looking through a window, this mural portrays the nearby Islington Golf Club, which has remained relatively unaltered since it opened in 1923. The golf course was designed by Stanley Thompson, one of the foremost golf course architects in North Amer",,,Public Art,4866 Dundas St W,302522.894,4834229.414,-79.5280327272,43.6500092928,116567.0,348,POINT (-79.5280327272279 43.6500092927955)
348,Aftermath,"This dramatic mural depicts the aftermath of Hurricane Hazel, which struck Toronto on October 15, 1954, flooding areas near Mimico Creek and the Islington Golf Course. The mural shows a volunteer clean-up crew assisting members of the Islington Fire Brig",,,Public Art,4868 Dundas St W,302517.74,4834226.341,-79.5280966079,43.6499816189,116568.0,349,POINT (-79.5280966078715 43.6499816188575)
349,Portraits from our Past,"Painted by Manitoba artist Sarah Collard, this mural is based on historical photographs of the Village of Islington. It can be seen as four separate smaller murals, each a vignette of daily life from the village's past. The far left mural shows the Bigha",,,Public Art,4886 Dundas St W,302498.829,4834186.548,-79.5283308795,43.6496233919,116569.0,350,POINT (-79.5283308794658 43.6496233919069)
350,"Battersby's March, 1813","Here you will see Lieutenant Colonel Francis Battersby leaving Toronto (then known as York) on July 29, 1816, along Dundas Street with his Canadian soldiers to secure Burlington Heights from the threat of an American naval attack. This action discouraged",,,Public Art,4914 Dundas St W,302450.65,4834122.632,-79.5289278791,43.6490479589,116570.0,351,POINT (-79.5289278791176 43.6490479588971)
351,The Pub with No Beer,"It is 1920s prohibition era (1916-1927) and this truck is only picking up empty pop bottles outside of the old Islington Hotel. Later called the Islington House or simply ""The Izzy"", it was a popular pub and meeting point right up until its 1986 demoliti",,,Public Art,4946 Dundas St W,302399.804,4834029.076,-79.529554523,43.648197146,116571.0,352,POINT (-79.529554523 43.648197146)
352,Gordon's Dairy ca.1940,"This mural shows Gordon's Dairy, a popular local landmark in the 1940s for youth visiting the lunch counter and dairy bar. The owners were Islington residents Earle Gordon, daughter Grace who was the bookkeeper and three of his sons (Reid and Bud are see",,,Public Art,4968 Dundas St W,302355.951,4833967.679,-79.530097879,43.647644389,116572.0,353,POINT (-79.530097879 43.647644389)
353,The Way We Were - Part I Islington ca. 1912,"A window into 1912 Dundas Street looking east, this mural is the first of two painted from Montgomery's Inn's archival documents. The family shown on the left in this mural is that of Islington photographer Walter Moorhouse. The two children on the right",,,Public Art,4972 Dundas St W,302342.823,4833947.15,-79.5302638094,43.6474681468,116573.0,354,POINT (-79.5302638094266 43.6474681468384)
354,The Way We Were - Part II,"The second installation of The Way We Were depicts the village around 1912. Complementing the first mural, this painted scene features Dundas Street looking west. The streetscape includes the old Islington Hotel. You will also notice a group of workmen p",,,Public Art,4984 Dundas St W,302319.875,4833924.138,-79.5305481787,43.6472609484,116574.0,355,POINT (-79.5305481786548 43.6472609484349)
355,Mimico Creek ca. 1920,"Featured here are Mimico Creek and Dundas Street. It was very common for artists to gather on the steps of Montgomery's Inn to take in the beautiful vista. Many pieces of art were inspired by these views, much like the one you see in front of you that in",,,Public Art,4986 Dundas St W,302316.756,4833919.459,-79.5305868225,43.6472188233,116575.0,356,POINT (-79.5305868225232 43.647218823291)
356,Honouring Islington's Volunteer Fire Brigade,"Here the artist, John Kuna honours the Islington Volunteer Fire Brigade who bravely fought fires and contributed to the community by building dams on Mimico Creek south of Dundas to create a skating rink during the winter time. Kuna's talent is demonstra",,,Public Art,4988 Dundas St W,302307.789,4833893.86,-79.530697869,43.6469883819,116576.0,357,POINT (-79.53069786901079 43.6469883819092)
357,Ontario Gothic,"If you are familiar with the 1930s painting American Gothic by Grant Wood, you will appreciate that this mural is a local parody called Ontario Gothic. Kuna¿s version is based on a photo of the local Appleby family and their farmhouse circa 1890. Like th",,,Public Art,"-79.5308380266,43.6468487972",302296.213,4833879.309,-79.5308380266,43.6468487972,116689.0,358,POINT (-79.53083802659999 43.6468487972)
358,"Harold G. Shipp's ""First High Flyer!""",The astounding scene (based on true events) of a Lancaster Bomber dropping cards onto the Etobicoke High School football field is represented here. Eighteen-year-old student Harold G. Shipp staged this event by convincing a pilot who ferried Lancaster bo,,,Public Art,"-79.5309095766,43.6467701938",302290.438,4833870.578,-79.5309095766,43.6467701938,116690.0,359,POINT (-79.5309095766 43.6467701938)
359,Prodigy,The arts are a vital component of any community and the Village of Islington celebrates their musical history in this mural. The Royal Conservatory of Music (RCM) was founded in 1886 and opened a satellite branch at this location in the 1950s. Kuna honou,,,Public Art,5048 Dundas St W,302240.36,4833793.539,-79.5315332825,43.6460852027,116579.0,360,POINT (-79.5315332825343 43.6460852026709)
360,Fishing in Mimico Creek,"This mural is a part of a trilogy of murals with a ""children at play"" theme. Giving us a glimpse of children fishing in Mimico Creek in 1920, note the intricacy in this mural¿s many levels: the children playing above the water, the riverbank and under th",,,Public Art,5096 Dundas St W,302150.418,4833668.284,-79.5326476145,43.6449575221,116580.0,361,POINT (-79.5326476144951 43.6449575220729)
361,Riding the Radials,"This is another mural in the ""children at play"" trilogy. This mural illustrates what is now known as the streetcar, referred to as radial trains as early as 1917. The name originates from the system in which the transit lines were organized. The tracks b",,,Public Art,5110 Dundas St W,302131.093,4833652.72,-79.5328870932,43.6448173789,116581.0,362,POINT (-79.53288709316421 43.6448173789198)
362,Toboggan Hill,"Toboggan Hill is the third mural with the ""children at play"" theme. The inspiration for this mural came from a photo in the Islington archives of Montgomery's Inn. The children are enjoying the crisp winter weather tobogganing down the hill from Dundas S",,,Public Art,5112 Dundas St W,302123.323,4833640.594,-79.5329833521,43.6447082138,116582.0,363,POINT (-79.53298335209929 43.6447082138139)
363,The Old Swimming Hole,"The swimming hole that inspired this piece of art was located on Willow Dale Farm on Mimico Creek. Mary Appleby wrote a note that described a swimming hole, originally at the site of a functioning sawmill frequented by village youth. The mill stood besid",,,Public Art,5126 Dundas St W,302100.262,4833605.946,-79.5332690442,43.6443962786,116583.0,364,POINT (-79.53326904423029 43.6443962785663)
364,Timeline: Islington Then and Now,"The timeline reflected in this mural provides a glimpse into three different stages of village development from the artist's perspective. The mural begins on the left with the village's original shop, Dunn's General Store, which sold groceries and hardwa",,,Public Art,4959 Dundas St W,302401.216,4833968.103,-79.529536763,43.647648338,116584.0,365,POINT (-79.529536763 43.647648338)
365,Briarly - Gone But Not Forgotten,"Now demolished, Briarly House is remembered through this beautiful mural. Briarly was named after the briar roses that once adorned its gardens. Kuna emphasizes that this is not a mournful reflection on lost history, but considers it an example of the en",,,Public Art,4937 Dundas St W,302425.388,4834003.411,-79.529237266,43.647966212,116655.0,366,POINT (-79.529237266 43.647966212)
366,The Faces of Islington,The demographics of a community make up a large part of its cultural character. The changing settlement history in the Village of Islington is seen here through the faces and design patterns on this mural. The panorama of children represented in the mura,,,Public Art,"-79.5283714371,43.6488010896",302495.263,4834096.145,-79.5283714371,43.6488010896,116680.0,367,POINT (-79.52837143710001 43.6488010896)
367,Faith of Our Fathers 2,"The Islington United Church featured in this mural has a very long history in the community. As early as 1815 ministers on horseback, also known as circuit riders, travelled between communities to help with spiritual matters and needs. The mural features",,,Public Art,"-79.5282358652,43.6489614153",302506.205,4834113.954,-79.5282358652,43.6489614153,116681.0,368,POINT (-79.5282358652 43.6489614153)
368,The Art Alley Mural Project,"This poetic mural, produced by Arts Etobicoke, interprets the Article 13 of the Universal Declaration of Human Rights (¿Everyone has the right to freedom of movement.¿). Toronto's then Poet Laureate Dionne Brand wrote a poem based on this article. Artist",,,Public Art,"-79.5279550995,43.6492248609",302528.863,4834143.216,-79.5279550995,43.6492248609,116682.0,369,POINT (-79.52795509950001 43.6492248609)
369,The Manse Committee,"This mural provides an inside peek at the typical interior of a building and manse in 1888. The manse, or minister's residence depicted here is that of Islington Methodist, then United Church (see #9). It features the Manse Committee, a group that provid",,,Public Art,4879 Dundas St W,302537.12,4834161.056,-79.5278560896,43.6493940378,116659.0,370,POINT (-79.52785608958619 43.6493940378055)
370,Album,"With its variety of mosaics, this mural, created by artists Anna Camilleri and Tristan R. Whiston who led local community workshops, was painted in 2015 as part of the Pan Am Path to distinguish the contributions of lesbian, gay, bisexual and transgender",,,Public Art,"-79.505438,43.662888",304345.431,4835660.674,-79.505438,43.662888,116660.0,371,POINT (-79.505438 43.662888)
371,LAMP Community Health Centre,"LAMP CHC is a multi-service, community based charitable organization that provides a wide range of programs and services including community arts initiatives and events to improve a person's health.",,http://lampchc.org/,Community,185 Fifth St,304507.126,4829070.156,-79.5034339274,43.6035732954,116485.0,372,POINT (-79.50343392743321 43.6035732953722)
372,Toronto Ribfest,"Toronto Ribfest is an annual summer event produced by Rotary Etobicoke. It takes place in Centennial Park with about 10,000 racks of ribs and 500 roasts of pulled pork eaten each year.",,http://torontoribfest.com/,Community,256 Centennial Park Rd,297777.864,4835045.576,-79.586864373,43.657319079,116486.0,373,POINT (-79.586864373 43.657319079)
373,Etobicoke Civic Centre Farmers' Market,"The Etobicoke Civic Centre Farmers' Market runs every Saturday from 8 a.m. - 2 p.m., June to October. Discover the wide array of local produce and food products offered at the market.",,,Community,399 The West Mall,299503.625,4833538.964,-79.5654560752,43.6437806,116487.0,374,POINT (-79.56545607523699 43.6437805999956)
374,Montgomery's Inn Farmers' Market,The Farmers' Market at Montgomery's Inn is open year-round on every Wednesday from 2 - 6 p.m. Admission to the Inn is free during Farmers' Market hours.,,http://toronto.ca/montgomerysinn,Community,4709 Dundas St W,302714.192,4834415.799,-79.525658746,43.651678917,116488.0,375,POINT (-79.525658746 43.651678917)
375,Humber Bay Shores Waterfront Festival,"This annual summer event is produced by Humber Bay Shore Condominium Association. It takes place on Marine Parade Drive and features activities for all ages, talent shows, music, artisan booths and other attractions.",,http://humberbayshores.org/,Community,"-79.476407,43.627805",306688.009,4831763.361,-79.476407,43.627805,116489.0,376,POINT (-79.47640699999999 43.627805)
376,Lakeshore Mardi Gras,"This annual summer event is produced by The Lakeshore Mardi Gras Committee, a community-driven organization. It takes place in Colonel Samuel Smith Park and features a wide variety of cuisines, live music, vendors and more.",,http://www.lakeshoremardigras.ca/,Community,"-79.514540,43.597807",303610.224,4828430.566,-79.51454,43.597807,116490.0,377,POINT (-79.51454 43.597807)
377,Taste of the Kingsway,"This annual fall event is produced by The Kingsway BIA. It takes place in the Kingsway neighbourhood on Bloor Street West featuring a wide variety of cuisines, family entertainment and attractions.",,http://kingswaybia.ca/taste-of-the-kingsway,Community,"-79.511321,43.647344",303870.726,4833933.892,-79.511321,43.647344,116491.0,378,POINT (-79.511321 43.647344)
378,Lakeshore Arts,"Lakeshore Arts is passionate about using the arts to transform, inspire, engage and educate communities. This grassroots community arts organization offers free, innovative multi-disciplinary programs accessible to all ages and skill levels that explore",,http://lakeshorearts.ca/,Creative,"-79.4892729633,43.6145552298",305649.893,4830291.2,-79.4892729633,43.6145552298,116676.0,379,POINT (-79.4892729633 43.6145552298)
379,Smith Zone Gallery,"Smith Zone Gallery, a 1,000 sq. ft. space, exhibits a range of work by emerging and established local artists, youth and community organizations. Exhibits change regularly so be sure to keep an eye on Lakeshore Arts' Facebook and Twitter pages for inform",,http://lakeshorearts.ca/gallery/exhibitions-2/,Creative,"-79.4892729633,43.6145552298",305649.893,4830291.2,-79.4892729633,43.6145552298,116677.0,380,POINT (-79.4892729633 43.6145552298)
380,Sirius Theatrical Company,"Sirius Theatrical Company strives to engage, energize and inspire communities. The company develops performance pieces that reflect cultural and artistic diverisity. Along with their performances, Sirius also facilitates a wide variety of workshops and t",,http://siriustheatrical.com/,Creative,119 Mimico Ave,305066.589,4830015.574,-79.4965029055,43.6120831338,116494.0,381,POINT (-79.49650290548399 43.6120831338305)
381,Assembly Hall,"Run by the City of Toronto, the Assembly Hall provides space to many Toronto arts, heritage and community groups including Lakeshore Arts, Theatre Etobicoke and Young People's Theatre. The building offers a 250+ seat performance hall for music, theatre,",,http://toronto.ca/assemblyhall,Creative,1 Colonel Samuel Smith Park Dr,303506.518,4828414.298,-79.5158278308,43.5976690087,116495.0,382,POINT (-79.51582783078911 43.5976690087187)
382,L Space Gallery,"A cultural hub, the gallery aims to enhance Humber College and foster connections between the arts and experiential education. The gallery is managed by Humber College staff and an advisory committee to ensure artistic excellence, participation and free",,http://humber.ca/lakeshorecampus/old-2015/lspacegallery,Creative,19 Colonel Samuel Smith Park Dr,303567.003,4828221.526,-79.515074838,43.595925284,116496.0,383,POINT (-79.515074838 43.595925284)
383,Etobicoke Civic Centre Art Gallery,"The Etobicoke Civic Centre Art Gallery was formed in 1976, created by the Etobicoke City Council to support arts in the community, it has been an integral part of the visual arts scene ever since. The gallery is located along the hallway just inside the",,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=10aa2271635af310VgnVCM10000071d60f89RCRD,Creative,399 The West Mall,299503.625,4833538.964,-79.5654560752,43.6437806,116497.0,384,POINT (-79.56545607523699 43.6437805999956)
384,Neilson Park Creative Centre,"Neilson Park Creative Centre (NPCC) is a community arts centre. It offers various classes for all ages, camps, free exhibitions and hosts festivals year round. Walk into the Main Gallery for a traditional experience or enjoy the art more casually in the",,http://neilsonparkcreativecentre.com/index.php?lang=en,Creative,56 Neilson Dr,299425.355,4832032.578,-79.566407828,43.630211908,116498.0,385,POINT (-79.566407828 43.630211908)
385,Arts Etobicoke,"Arts Etobicoke is a community arts council dedicated to bringing art into the daily lives of its community members and beyond, believing that people thrive when art touches their lives. For over 40 years, Arts Etobicoke has been finding innovative ways t",,http://artsetobicoke.com/,Creative,4893A Dundas St W,302515.908,4834125.883,-79.528115626,43.649068814,116651.0,386,POINT (-79.528115626 43.649068814)
386,MABELLEarts,"MABELLEarts make art and build environments that foster community regeneration and invention. They celebrate cultural traditions, differences and points of connection that help spark collaboration as a creative force for change.",,http://mabellearts.ca/,Creative,5005 Dundas St W,302305.928,4833790.048,-79.5307204915,43.6460539737,116499.0,387,POINT (-79.5307204914569 43.6460539737128)
387,"Humber College, School of Creative and Performing Arts","The School of Creative and Performing Arts is part of the Humber College Lakeshore Campus, home to a collection of professional training programs,supported by an array of specialized facilities.",,http://humber.ca/scapa,Creative,3199 Lake Shore Blvd W,303141.356,4828366.818,-79.5203504404,43.5972410025,116500.0,388,POINT (-79.5203504404198 43.5972410024712)
388,Etobicoke School of the Arts,"Etobicoke School of the Arts is a specialized, public arts-academic high school. Founded in 1981, it is the oldest arts-focused high school in Canada.",,http://www.esainfo.ca/,Creative,675 Royal York Rd,304449.281,4832088.349,-79.5041517834,43.6307407802,116501.0,389,POINT (-79.5041517833774 43.6307407801638)
389,Mimico Train Station,"In the mid-19th century, many railway routes were created in south central Ontario. They were the catalyst for the development of new communities, including Mimico.  In the 1980s, the building was no longer used and it became vulnerable to structural dam",,http://mimicostation.ca/,History,10 Judson St,304834.719,4830476.922,-79.499372236,43.616227254,116502.0,390,POINT (-79.499372236 43.616227254)
390,St. Leo's Catholic Church,"The present building is St.Leo's second building. The first church was located on the opposite side of Royal York Road. The land was donated in 1895 and the cornerstone of the first church was laid in 1901. In 1912, the church grew to 300 parishioners an",,http://saintleosmimico.ca/,History,277 Royal York Rd,305025.72,4830259.57,-79.4970091168,43.6142793673,116503.0,391,POINT (-79.4970091167767 43.6142793672998)
391,Mimico Post Office,"This building once served as the Mimico Post Office. It has changed little over the years, but has a past involving armed bandits and kidnapped captives. On March 2, 1929, a truck from the Mimico Post Office made its way towards Mimico's railway station",,,History,285 Royal York Rd,304990.484,4830286.082,-79.4974456594,43.6145180114,116504.0,392,POINT (-79.497445659389 43.614518011398)
392,Windsor Public House,"The Blue Goose Tavern has been a local fixture since 1892. Built originally as the Windsor Hotel, it was placed adjacent to Mimico's first train station, picking up business from people waiting to catch a train the next morning, railway management and ra",,,History,1 Blue Goose St,305127.085,4830534.43,-79.4957531911,43.6167534553,116505.0,393,POINT (-79.49575319105629 43.6167534553086)
393,Lakeshore Grounds,"The Lakeshore Grounds site is the jewel of the surrounding community. In the late 18th century, Colonel Samuel Smith was granted 1,680 hectares of Crown land in what is now known as south Etobicoke, including the Lakeshore Grounds, in recognition of his",,,History,"-79.514122,43.594505",303643.895,4828063.741,-79.514122,43.594505,116506.0,394,POINT (-79.514122 43.594505)
394,Lakeshore Grounds - Administration Building,"Built in 1890 in Romanesque style, the Administration Building is the most prominent building and an architectural focal point of the entire complex. It can
be approached by a circular driveway, which can be entered through the treed main road. A large c",,,History,"-79.513625,43.596234",303684.06,4828255.811,-79.513625,43.596234,116696.0,395,POINT (-79.513625 43.596234)
395,Lakeshore Grounds - The Cottages,"The Cottages, built in a quadrangle, accommodated patients, staff, administrators and visitors of the Lakeshore Psychiatric Hospital and were central to day-to-day life. Patient-labour was used to build the structures as part of the therapy and vocationa",,,History,"-79.515158,43.596678",303560.308,4828305.148,-79.515158,43.596678,116507.0,396,POINT (-79.515158 43.596678)
396,Lakeshore Grounds - Tunnels,"There is a tunnel complex that runs below the cottages that was used to transport food and laundry between buildings. The tunnels were connected to the central building that contained a kitchen, laundry, bakery, boiler house and apartments for female att",,,History,"-79.515969,43.596597",303494.83,4828296.159,-79.515969,43.596597,116508.0,397,POINT (-79.515969 43.596597)
397,Lakeshore Grounds - Cumberland House,"Built in 1895, this house was the residence of the hospital's superintendent, T.D. Cumberland. The structure of the building is known as Queen Anne. It was built entirely by patient labour. It later became a school for the patients before it was renovate",,,History,"-79.511742 ,43.596038",303836.079,4828234.023,-79.511742,43.596038,116704.0,398,POINT (-79.511742 43.596038)
398,Lakeshore Grounds - Gate House,"When the site was built in 1893, it was called the Entrance Lodge. It was built by William Clarke, with the help of patient labour. The original configuration was a standard two-bedroom dwelling. In 1909, a kitchen, pantry, closets, bathrooms and a bedro",,,History,3101 Lake Shore Blvd W,303728.375,4828539.134,-79.5130799811,43.5987929589,116510.0,399,POINT (-79.5130799810556 43.5987929589288)
399,Lakeshore Grounds - The Power House,The Power House Recreation Centre was a masonry steam plant and stack built in 1937 to service the Lakeshore Psychiatric Hospital. It is now owned and operated by the City of Toronto and offers a variety of summer camps for children and youth that includ,,,History,"-79.515377,43.593509",303542.545,4827953.108,-79.515377,43.593509,116443.0,400,POINT (-79.515377 43.593509)
400,Applewood Shaver Homestead,"Applewood was built in 1852 by Peter and Esther Shaver and remained in the Shaver family until 1980. It is the birthplace of James Shaver Woodsworth, the principal founder of the Co-operative Commonwealth Federation (CCF) political party, forerunner to t",,http://www.applewoodshaverhouse.org/,History,450 The West Mall,299237.042,4834014.605,-79.56876232,43.648051488,116697.0,401,POINT (-79.56876232 43.648051488)
401,Samuel & Ann Mercer House,"Mercer House is known for its Georgian farmhouse-style with vibrant red bricks and a one-metre thick foundation made of local fieldstone and site made bricks. The house still stands as a local landmark, much like it did its heyday in 1820. The farmhouse",,,History,72 Old Burnhamthorpe Rd,298226.092,4833412.431,-79.581289809,43.6426312592,116444.0,402,POINT (-79.5812898089769 43.6426312592262)
402,Richview Memorial Cemetery,"Richview Memorial Cemetery is surrounded by highways providing a unique environment. It was originally the cemetery of Richview Methodist Church circa 1850. When the highway interchange was built in 1954, the church had to move to a new location, but the",,,History,"-79.575065,43.670432",298730.935,4836501.421,-79.575065,43.670432,116445.0,403,POINT (-79.575065 43.670432)
403,Andrew Coulter House,"The Andrew Coulter House is the oldest house in Etobicoke, built pre-1982. Originally the home of Andrew and Martha Coulter who purchased this 40 hectare piece of land in 1822. The five-bay Georgian style house was constructed from bricks made on site an",,,History,"-79.5680783472,43.6637011769",299293.701,4835753.166,-79.5680783472,43.6637011769,116691.0,404,POINT (-79.5680783472 43.6637011769)
404,Montgomery's Inn,"At the centre of this nascent Islington community was Montgomery's Inn, built in around 1830 and operated as public house (pub) for over 20 years. The Inn was constructed in the late Georgian or Loyalist architecture style by Thomas Montgomery. This styl",,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=2f3d2271635af310VgnVCM10000071d60f89RCRD,History,4709 Dundas St W,302714.192,4834415.799,-79.525658746,43.651678917,116698.0,405,POINT (-79.525658746 43.651678917)
405,Briarly Lane,"Briarly Lane is a private road with a small brick gateway with a numerous town houses lining the street. This is the former site of a home known as Briarly. Its original owners are unknown but it was the home of William Montgomery, Thomas Montgomery's so",,,History,"-79.523823,43.653452",302862.335,4834612.727,-79.523823,43.653452,116447.0,406,POINT (-79.52382299999999 43.653452)
406,St. George's On-The-Hill Anglican Church,"This church has been a landmark and a navigation point for over 160 years. The obvious feature of this site is its elevation, which was appreciated long before the church was built. In 1971, the church was registered as a site of archaeological interest.",,,History,4600 Dundas St W,303071.545,4834999.574,-79.5212340243,43.6569434147,116699.0,407,POINT (-79.5212340243301 43.6569434147077)
407,Montgomery Road,"Until 1962, there was no bridge on Islington Avenue over Mimico Creek. As a result, Islington Avenue coming from the north, ended at Dundas, to be continued again at Bloor Street. Islington Avenue was merely a dirt trail at this time. There was a bridge",,,History,"-79.525260,43.652318",302746.381,4834486.788,-79.52526,43.652318,116448.0,408,POINT (-79.52526 43.652318)
408,Musson House,"This is a large two-storey Regency-style house, a relatively rare remaining historic building. This house was built in 1880 and served as a community hub. Thomas Musson was the postmaster of the Village of Islington for 30 years until his death in 1899.",,,History,4884 Dundas St W,302507.993,4834200.508,-79.5282173329,43.6497490704,116449.0,409,POINT (-79.52821733286289 43.6497490703642)
409,Etobicoke Township Hall,"This building, that now houses the Fox & Fiddle, may not look all that old but it contains (the new structure was built over the old building) one of the oldest buildings in Islington ¿ the village's First Methodist church built around 1843. In 1887, the",,,History,4946 Dundas St W,302399.804,4834029.076,-79.529554523,43.648197146,116700.0,410,POINT (-79.529554523 43.648197146)
410,Islington Burying Ground,"The Ontario Genealogical Society dates the establishment of the Islington Burying Ground to 1844 or before. It was opened on donated land and there are gravestones that date back prior to 1807, but said stones were likely moved to the grounds after the c",,,History,"-79.529917,43.648014",302370.557,4834008.738,-79.529917,43.648014,116450.0,411,POINT (-79.529917 43.648014)
411,Islington Senior's Centre,"The Islington Senior's Centre stands at the original location of Islington's first public school, erected in 1832. The school was later moved to a new brick building on Cordova Avenue and the original school building was converted into a house and later",,,History,4968 Dundas St W,302355.951,4833967.679,-79.530097879,43.647644389,116451.0,412,POINT (-79.530097879 43.647644389)
412,Edgehill House,"Edgehill House is the former summer home of Frederick and Margaret James, built in the early 1900s. Known for their community garden parties and musical concerts, the James¿ wished to share their estate with the public. So, following their deaths, the 8",,,History,61 Edgehill Rd,303437.59,4836527.792,-79.5167005104,43.6707003324,116452.0,413,POINT (-79.5167005104196 43.6707003323554)
413,Lambton House,Lambton House is the site that commemorates Sir William Pearce Howland - A Person of National Historic Significance. It is the last remaining public building of Lambton Mills. It survived the fire of 1915 as it is a brickbuilding. The building served as,,http://lambtonhouse.org/,History,"-79.503608068,43.663141392",304493.023,4835688.812,-79.503608068,43.663141392,116692.0,414,POINT (-79.50360806800001 43.663141392)
414,Baby Point,"Baby Point was an estate of Colonel James Baby, who later became Inspector-General of Finances of Upper Canada. James Baby acquired 46 hectares of land overlooking the Humber River in 1815. Baby¿s descendants lived in the area until about 1960s. To read",,,History,"-79.501486,43.653499",304664.177,4834617.593,-79.501486,43.653499,116454.0,415,POINT (-79.501486 43.653499)
415,Old Mill Toronto,"As the name indicates, the Old Mill has a long and rich history. The Old Mill area was the first industrial site in Toronto. Many mills operated along the Humber River in the 1800s. William Gamble built a mill on the site, which was destroyed by a fire i",,http://www.oldmilltoronto.com/,History,21 Old Mill Rd,305313.119,4834333.489,-79.4934452357,43.6509501455,116455.0,416,POINT (-79.49344523570841 43.6509501455337)
